county,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,st_abb,year,state_fips,county_fips
Monmouth,68651,4343,35959,7903,1.25,5.7,NJ,2002,34,025
Morris,80143,5237,17190,3968,0.80,3.6,NJ,2002,34,027
Ocean,46654,3006,42350,9415,1.75,7.8,NJ,2002,34,029
Passaic,44693,2903,59489,13106,2.70,12.1,NJ,2002,34,031
Salem,45841,3181,5338,1225,1.90,8.3,NJ,2002,34,033
Somerset,77887,5217,12658,2868,0.90,4.1,NJ,2002,34,035
Sussex,68261,4647,6324,1454,1.00,4.2,NJ,2002,34,037
Union,53010,3272,46618,10130,1.90,8.9,NJ,2002,34,039
Warren,57661,3953,6312,1439,1.35,5.8,NJ,2002,34,041
Atlantic,43200,2617,28422,6296,2.40,10.8,NJ,2003,34,001
Bergen,64046,3592,54900,11903,1.30,6.1,NJ,2003,34,003
Burlington,61479,3630,25323,5571,1.30,5.8,NJ,2003,34,005
Camden,47577,2748,55348,12062,2.40,10.9,NJ,2003,34,007
Cape May,42072,2617,9435,2133,2.15,9.6,NJ,2003,34,009
Cumberland,37931,2352,20963,4719,3.35,14.9,NJ,2003,34,011
Essex,42852,2412,112394,24356,3.15,14.4,NJ,2003,34,013
Gloucester,57117,3500,17946,3986,1.50,6.7,NJ,2003,34,015
Hudson,38828,2189,90398,19607,3.30,15.1,NJ,2003,34,017
Hunterdon,84126,5459,4457,1054,0.85,3.5,NJ,2003,34,019
Mercer,55587,3345,28336,6280,1.80,8.2,NJ,2003,34,021
Middlesex,59359,3366,56811,12270,1.60,7.4,NJ,2003,34,023
Monmouth,68911,4011,40779,8861,1.40,6.5,NJ,2003,34,025
Morris,80077,4825,20007,4500,0.95,4.2,NJ,2003,34,027
Ocean,48269,2861,44101,9721,1.75,8.1,NJ,2003,34,029
Passaic,46191,2755,62097,13579,2.80,12.6,NJ,2003,34,031
Salem,46952,2996,6006,1381,2.10,9.3,NJ,2003,34,033
Somerset,78130,4778,14760,3296,1.05,4.7,NJ,2003,34,035
Sussex,69369,4332,7277,1654,1.10,4.8,NJ,2003,34,037
Union,53945,3082,52014,11215,2.10,9.9,NJ,2003,34,039
Warren,58998,3703,6685,1518,1.40,6.1,NJ,2003,34,041
Atlantic,44782,2720,26674,6133,2.30,10.0,NJ,2004,34,001
Bergen,65637,3730,50815,11427,1.25,5.7,NJ,2004,34,003
Burlington,63354,3765,23960,5471,1.25,5.5,NJ,2004,34,005
Camden,48748,2830,53858,12184,2.35,10.6,NJ,2004,34,007
Cape May,44528,2777,8268,1944,2.00,8.5,NJ,2004,34,009
Cumberland,39335,2430,20153,4698,3.35,14.2,NJ,2004,34,011
Essex,44486,2519,107230,24100,3.10,13.9,NJ,2004,34,013
Gloucester,59516,3679,17015,3931,1.45,6.2,NJ,2004,34,015
Hudson,40311,2294,86069,19404,3.25,14.4,NJ,2004,34,017
Hunterdon,87701,5706,3914,961,0.75,3.1,NJ,2004,34,019
Mercer,57705,3505,27941,6439,1.85,8.1,NJ,2004,34,021
Middlesex,60987,3483,53449,11985,1.55,6.9,NJ,2004,34,023
Monmouth,71464,4194,36889,8319,1.35,5.9,NJ,2004,34,025
Morris,82173,4974,19608,4545,0.95,4.1,NJ,2004,34,027
Ocean,51009,3041,42227,9651,1.75,7.6,NJ,2004,34,029
Passaic,47861,2861,58973,13393,2.70,12.0,NJ,2004,34,031
Salem,49231,3131,6036,1439,2.20,9.2,NJ,2004,34,033
Somerset,79567,4876,13509,3118,0.95,4.3,NJ,2004,34,035
Sussex,71013,4449,6628,1563,1.05,4.4,NJ,2004,34,037
Union,55247,3201,48078,10800,2.05,9.1,NJ,2004,34,039
