State,county,year,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,frm_30,points_30,frm_15,points_15,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,county_fips,price,Price_Difference
New Jersey,Hudson,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,55699,1652,126653,9611,1.5,19.4,17,338057,19577.33
New Jersey,Hudson,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,57720,2168,117129,9481,1.4,17.7,17,364286.92,26229.92
New Jersey,Hudson,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,60053,1623,117828,9372,1.4,17.7,17,383088.58,18801.66
New Jersey,Hudson,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,63157,1946,104660,8794,1.3,15.6,17,409631.92,26543.34
New Jersey,Hudson,2017,0,0,0,0,0,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,65673,3151,96125,9139,1.3,14.1,17,439802.58,30170.66
New Jersey,Hudson,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,73337,2139,95704,10273,1.5,14.3,17,469338.5,29535.92
New Jersey,Hudson,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,77738,2514,90976,8368,1.3,13.7,17,479035.25,9696.75
New Jersey,Hunterdon,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,103301,6134,5664,1101,0.9,4.6,19,354244.42,
New Jersey,Hunterdon,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,107203,6317,5068,1091,0.9,4.1,19,360721.42,6477
New Jersey,Hunterdon,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,103876,5136,5742,1144,0.9,4.7,19,379196.83,18475.41
New Jersey,Hunterdon,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,102797,3980,6046,1085,0.9,5,19,380194.75,997.92
New Jersey,Hunterdon,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,113336,5260,5431,921,0.8,4.5,19,376774.17,-3420.58
New Jersey,Hunterdon,2017,0,0,0,0,0,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,113083,7030,4793,918,0.8,3.9,19,384010.58,7236.41
New Jersey,Hunterdon,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,112335,5735,5317,1007,0.8,4.4,19,390068.17,6057.59
New Jersey,Hunterdon,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,117275,8348,4794,1116,0.9,4,19,395401.75,5333.58
New Jersey,Mercer,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,67662,2981,36894,4449,1.3,10.5,21,223372.92,
New Jersey,Mercer,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,70575,1884,41296,5289,1.5,11.8,21,227961.83,4588.91
New Jersey,Mercer,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,73750,3162,41715,4208,1.2,11.8,21,232852.92,4891.09
New Jersey,Mercer,2015,0,0,0,0,0,1,0,1,0,0,3.850576923,0.615384615,3.0875,0.576923077,72172,2755,39354,4687,1.3,11.2,21,235480.83,2627.91
New Jersey,Mercer,2016,2,0,0,1,1,8,2,6,0,0,3.654038462,0.530769231,2.930769231,0.492307692,76988,3107,39066,4551,1.3,11.1,21,236224.75,743.92
New Jersey,Mercer,2017,6,0,0,0,6,19,9,10,0,0,3.989807692,0.498076923,3.2725,0.490384615,78161,4228,40622,4851,1.4,11.4,21,238138.58,1913.83
New Jersey,Mercer,2018,1,0,0,0,1,13,7,4,2,0,4.544615385,0.484615385,4.000192308,0.45,79979,3291,38279,5168,1.5,10.9,21,248015.33,9876.75
New Jersey,Mercer,2019,2,0,0,0,2,14,1,6,7,0,3.935769231,0.521153846,3.391730769,0.475,79475,4872,41600,4602,1.3,11.9,21,254485.17,6469.84
New Jersey,Middlesex,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,77044,1871,77061,7148,0.9,9.6,23,281452.42,
New Jersey,Middlesex,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,76515,2075,75437,7189,0.9,9.4,23,292220.33,10767.91
New Jersey,Middlesex,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,77330,2533,67331,7436,0.9,8.3,23,307306.67,15086.34
